id,pais,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
83,Mônaco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0
84,Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0
85,Namíbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Nigéria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,3960,29356
87,Noruega,0,0,0,44007,0,0,0,0,0,131181,46706,0,0,0,0,0,68789,165077,0,126059,42612,0,0,0,0,0,0,45658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8671,0,0,0,0,0,1228,0,1134,1920,1624,31
88,Nova Caledônia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0
89,Nova Zelândia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2120,0,0,0,0,0,0,0,0,0,0,0,135323,326096,378147,0,0,0,0,0,40810,196655,0,0,0,0,0,0,0,64926,33390,29680,0,0,33390,0,0,0,2532,24971
90,Países Baixos,0,0,0,0,0,0,0,595,1701,550,243230,0,210977,326024,231028,339011,524140,559628,720171,279978,633004,498378,183491,517390,0,131046,314244,202283,843264,0,1892,0,0,111,111,118310,84921,50650,0,0,0,44064,160,660988,0,69,0,324,227,295,193,30257,2291,91
91,Panamá,0,0,0,0,0,0,0,0,0,0,0,0,269,4141,8904,14209,0,6325,0,0,0,0,0,0,0,0,0,0,0,0,0,46779,19820,53730,0,0,0,0,0,0,0,0,0,0,0,1067,0,0,1268,1492,3049,9074,14058,25918
92,Paquistão,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Paraguai,0,0,349,4943,9829,12600,10555,9390,12976,15554,6446,6602,6012,6723,6776,6460,4151,1444,1723,5413,11054,3695,57475,90008,31702,51789,6007,1690,1359,0,72657,32421,18867,0,0,59,1172,11289,125836,35087,41337,40885,123975,163719,311182,403057,262944,309629,296583,48332,444917,487572,364220,685909
94,Peru,0,0,0,0,0,0,0,0,0,0,0,0,0,21422,4932,4932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27428,0,59268,23916,37315,40697,0,0,0,0,0,0,0,119736,108618
95,Polônia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2087,0,0,0,0,0,0,0,0,0,0,0,0
96,Porto Rico,0,0,4145,0,0,0,0,0,0,0,0,0,0,72277,174795,441484,406313,288940,417023,487219,426733,414523,660962,803217,1027788,1070090,821592,1017270,1771587,1223440,905920,1279670,1236113,594896,1095982,1493920,978196,1075448,1359663,1155525,254430,367292,0,0,66780,0,0,0,0,0,0,78016,78016,0
97,Portugal,0,0,1478,0,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,8730,0,0,8553,0,0,0,14545,8840,4281,3075,32089,4760,0,0,0,0,0,346,0,0,0,0,0,0,0,4885,48,201763,387285,280161,167270
98,Quênia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
99,Reino Unido,0,0,0,0,0,0,0,0,5288,98352,101520,56397,943,61950,0,32448,33328,107158,106853,118009,0,0,0,0,0,0,0,2862,0,88044,0,0,0,0,7420,5648,0,0,0,140,0,0,0,0,2004,0,25078,1386,23649,2445,3837,25042,19920,18958
100,República Centro Africana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,República Dominicana,0,0,0,1544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10782,67740,72131,42930,42930,8586,97308,32907,105644,81603,83335,189709,68874,120810,123604,86125,122541,214140,142761,142760,71380,111893,106231,104159
102,República Federativa da Rússia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,12,0,0,0,0,0,127001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
